date,season,competition,round,opponent,home_away,stadium,maccabi_score,opponent_score,maccabi_coach,opponent_coach,referee,crowd,maccabi_scorers,opponent_scorers,raw_home_team,raw_away_team,page,maccabi_scorers_parsed,opponent_scorers_parsed
04-10-1930,1930/31,ליגת ההתאחדות,,המעופפים רמלה,בית,,4,2,,,,,"רוברט מורגן )ע(, זליבנסקי31, מנחם חרש, שמואל בכ ר",",? ג'ון סנדר ס","מכבי ת""א",המעופפים רמלה,8,"[{""name"": ""מנחם חרש"", ""minute"": null}, {""name"": ""שמואל בכר"", ""minute"": null}]","[{""name"": ""גון סנדר ס"", ""minute"": null}]"
11-10-1930,1930/31,ליגת ההתאחדות,,"מכבי פ""ת",חוץ,,4,4,,,,,"יעקב זליבנסקי 20) פ, ,(75 אריה זליבנסקי ,(?) אברהם רזניק (90)","שמעון לאומי )לומק( ?) פ, 85 פ(, ,? ?","מכבי פ""ת","מכבי ת""א",8,"[{""name"": ""יעקב זליבנסקי"", ""minute"": 20}, {""name"": ""אריה זליבנסקי"", ""minute"": null}, {""name"": ""אברהם רזניק"", ""minute"": 90}]","[{""name"": ""שמ ון לאומי לומק"", ""minute"": null}]"
18-10-1930,1930/31,ליגת ההתאחדות,,המשטרה הבריטית,בית,,5,1,,,,,"מנחם חרש 2] ,[ אברהם רזניק, מרדכי פצנובסקי, חיים דליצקי",וו. ת'ומ ס,"מכבי ת""א",המשטרה הבריטית,8,"[{""name"": ""מנחם חרש"", ""minute"": 2}, {""name"": ""אברהם רזניק"", ""minute"": null}, {""name"": ""מרדכי פצנובסקי"", ""minute"": null}, {""name"": ""חיים דליצקי"", ""minute"": null}]","[{""name"": ""וו. תומ ס"", ""minute"": null}]"
25-10-1930,1930/31,ליגת ההתאחדות,,"הפועל ת""א",חוץ,,2,1,,,,,"מנחם חרש 18) או 25 ,( מרדכי פצנובסקי או מנחם חרש 55) 14(",יוחנן סוקניק (77),"הפועל ת""א","מכבי ת""א",8,"[{""name"": ""מנחם חרש"", ""minute"": 18}]","[{""name"": ""יוחנן סוקניק"", ""minute"": 77}]"
01-11-1930,1930/31,ליגת ההתאחדות,,הפועל ירושלים,בית,,8,0,,,,,,,"מכבי ת""א",הפועל ירושלים,8,[],[]
08-11-1930,1930/31,ליגת ההתאחדות,,המעופפים רמלה,חוץ,,4,2,,,,,"מרדכי פצנובסקי 2] ,[ זליבנסק י51, מנחם חרש",ויקטור בליק 2] [,המעופפים רמלה,"מכבי ת""א",8,"[{""name"": ""מרדכי פצנובסקי"", ""minute"": 2}, {""name"": ""אריה זליבנסקי"", ""minute"": 51}, {""name"": ""מנחם חרש"", ""minute"": null}]","[{""name"": ""ויקטור בליק"", ""minute"": 2}]"
18-10-1930,1930/31,ליגה ב',,מכבי השרון,חוץ,,3,2,,,,,,,מכבי השרון,"מכבי ת""א מילואים )כרמל(",11,[],[]
28-11-1931,1931/32,ליגת ההתאחדות,,"מכבי פ""ת",בית,,6,2,,,,,,)הופסק (,"מכבי ת""א","מכבי פ""ת",15,[],[]
05-12-1931,1931/32,ליגת ההתאחדות,,הפועל חיפה,בית,,1,3,,,,,,,"מכבי ת""א",הפועל חיפה,15,[],[]
12-12-1931,1931/32,ליגת ההתאחדות,,מכבי נס ציונה,חוץ,,4,0,,,,,,,מכבי נס ציונה,"מכבי ת""א",15,[],[]
19-12-1931,1931/32,ליגת ההתאחדות,,"הפועל ת""א",בית,,1,1,,,,,שמואל בכר (30),אברהם נודלמן 15) או (5020,"מכבי ת""א","הפועל ת""א",15,"[{""name"": ""שמואל בכר"", ""minute"": 30}]","[{""name"": ""אברהם נודלמן"", ""minute"": 15}]"
26-12-1931,1931/32,ליגת ההתאחדות,,הפועל ירושלים,חוץ,,7,1,,,,,"חיים דליצקי ,9) ,(75 יעקב זליבנסקי ,16) 37 פ, ,(45 גדליה ,(39)",מזרחי )08פ (,הפועל ירושלים,"מכבי ת""א",16,"[{""name"": ""חיים דליצקי"", ""minute"": null}, {""name"": ""יעקב זליבנסקי"", ""minute"": null}, {""name"": ""גדליה"", ""minute"": null}]","[{""name"": ""מזרחי"", ""minute"": null}]"
02-01-1932,1931/32,ליגת ההתאחדות,,"מכבי פ""ת",בית,,3,1,,,,,,,"מכבי ת""א","מכבי פ""ת",16,[],[]
09-01-1932,1931/32,ליגת ההתאחדות,,מכבי חשמונאי,חוץ,,0,2,,,,,,"עקיבא צובנר ,27) ? (",מכבי חשמונאי,"מכבי ת""א",16,[],"[{""name"": ""קיבא צובנר"", ""minute"": null}]"
16-01-1932,1931/32,ליגת ההתאחדות,,מכבי חיפה,בית,,4,2,,,,,,,"מכבי ת""א",מכבי חיפה,16,[],[]
23-01-1932,1931/32,ליגת ההתאחדות,,"הפועל ת""א",חוץ,,1,5,,,,,אברהם רזניק )51פ (,"מרדכי מאיר )03פ(, ?","הפועל ת""א","מכבי ת""א",16,"[{""name"": ""אברהם רזניק"", ""minute"": null}]","[{""name"": ""מרדכי מאיר"", ""minute"": null}]"
